model,operating_point,tau,auroc,auprc_true_base,brier,ece,tp,fp,tn,fn,precision,recall_tpr,specificity_tnr,fpr,fnr,f1,balanced_acc,pct_gated,gated_recovery,gated_pa,n_test_pos,n_test_neg,note
qwen-2.5-1.5b,primary_tau0.15,0.15,0.4665,0.0275,0.0236,0.0041,1,6,1299,31,0.1429,0.0312,0.9954,0.0046,0.9688,0.0513,0.5133,0.0052,0.03125,1.0,32,1305,current primary (most permissive val threshold)
qwen-2.5-1.5b,val_F1_max,0.28,0.4665,0.0275,0.0236,0.0041,0,4,1301,32,0.0,0.0,0.9969,0.0031,1.0,0.0,0.4985,0.003,,,32,1305,maximises validation F1 (=0.087)
qwen-2.5-1.5b,val_youdenJ_max,0.28,0.4665,0.0275,0.0236,0.0041,0,4,1301,32,0.0,0.0,0.9969,0.0031,1.0,0.0,0.4985,0.003,,,32,1305,maximises validation Youden J=TPR-FPR (=0.050)
qwen-2.5-1.5b,val_FPR_le_5pct,0.03,0.4665,0.0275,0.0236,0.0041,1,8,1297,31,0.1111,0.0312,0.9939,0.0061,0.9688,0.0488,0.5126,0.0067,,,32,1305,lowest tau with validation FPR<=5% and TPR>0
qwen-2.5-1.5b,always_on,0.0,0.4665,0.0275,0.0236,0.0041,32,1305,0,0,0.0239,1.0,0.0,1.0,0.0,0.0467,0.5,1.0,,,32,1305,no detector gate (mechanistic upper bound)
qwen-2.5-7b,primary_tau0.15,0.15,0.5714,0.0561,0.0288,0.012,5,33,1265,34,0.1316,0.1282,0.9746,0.0254,0.8718,0.1299,0.5514,0.0284,0.07692307692307693,0.97,39,1298,current primary (most permissive val threshold)
qwen-2.5-7b,val_F1_max,0.04,0.5714,0.0561,0.0288,0.012,13,162,1136,26,0.0743,0.3333,0.8752,0.1248,0.6667,0.1215,0.6043,0.1309,,,39,1298,maximises validation F1 (=0.239)
qwen-2.5-7b,val_youdenJ_max,0.04,0.5714,0.0561,0.0288,0.012,13,162,1136,26,0.0743,0.3333,0.8752,0.1248,0.6667,0.1215,0.6043,0.1309,,,39,1298,maximises validation Youden J=TPR-FPR (=0.353)
qwen-2.5-7b,val_FPR_le_5pct,0.07,0.5714,0.0561,0.0288,0.012,10,59,1239,29,0.1449,0.2564,0.9545,0.0455,0.7436,0.1852,0.6055,0.0516,,,39,1298,lowest tau with validation FPR<=5% and TPR>0
qwen-2.5-7b,always_on,0.0,0.5714,0.0561,0.0288,0.012,39,1298,0,0,0.0292,1.0,0.0,1.0,0.0,0.0567,0.5,1.0,,,39,1298,no detector gate (mechanistic upper bound)
mistral-7b-v0.3,primary_tau0.15,0.15,0.6574,0.0915,0.0531,0.0168,16,130,1136,55,0.1096,0.2254,0.8973,0.1027,0.7746,0.1475,0.5613,0.1092,0.056338028169014086,1.0,71,1266,current primary (most permissive val threshold)
mistral-7b-v0.3,val_F1_max,0.1,0.6574,0.0915,0.0531,0.0168,16,130,1136,55,0.1096,0.2254,0.8973,0.1027,0.7746,0.1475,0.5613,0.1092,,,71,1266,maximises validation F1 (=0.201)
mistral-7b-v0.3,val_youdenJ_max,0.1,0.6574,0.0915,0.0531,0.0168,16,130,1136,55,0.1096,0.2254,0.8973,0.1027,0.7746,0.1475,0.5613,0.1092,,,71,1266,maximises validation Youden J=TPR-FPR (=0.195)
mistral-7b-v0.3,val_FPR_le_5pct,0.2,0.6574,0.0915,0.0531,0.0168,2,6,1260,69,0.25,0.0282,0.9953,0.0047,0.9718,0.0506,0.5117,0.006,0.014084507042253521,1.0,71,1266,lowest tau with validation FPR<=5% and TPR>0
mistral-7b-v0.3,always_on,0.0,0.6574,0.0915,0.0531,0.0168,71,1266,0,0,0.0531,1.0,0.0,1.0,0.0,0.1009,0.5,1.0,,,71,1266,no detector gate (mechanistic upper bound)
llama-3.1-8b,primary_tau0.15,0.15,0.5984,0.0967,0.0609,0.01,13,72,1178,74,0.1529,0.1494,0.9424,0.0576,0.8506,0.1512,0.5459,0.0636,0.06896551724137931,0.98,87,1250,current primary (most permissive val threshold)
llama-3.1-8b,val_F1_max,0.13,0.5984,0.0967,0.0609,0.01,18,116,1134,69,0.1343,0.2069,0.9072,0.0928,0.7931,0.1629,0.557,0.1002,,,87,1250,maximises validation F1 (=0.246)
llama-3.1-8b,val_youdenJ_max,0.11,0.5984,0.0967,0.0609,0.01,23,151,1099,64,0.1322,0.2644,0.8792,0.1208,0.7356,0.1762,0.5718,0.1301,,,87,1250,maximises validation Youden J=TPR-FPR (=0.214)
llama-3.1-8b,val_FPR_le_5pct,0.24,0.5984,0.0967,0.0609,0.01,3,16,1234,84,0.1579,0.0345,0.9872,0.0128,0.9655,0.0566,0.5108,0.0142,,,87,1250,lowest tau with validation FPR<=5% and TPR>0
llama-3.1-8b,always_on,0.0,0.5984,0.0967,0.0609,0.01,87,1250,0,0,0.0651,1.0,0.0,1.0,0.0,0.1222,0.5,1.0,,,87,1250,no detector gate (mechanistic upper bound)
