model,method,candidate_recovery,freegen_new_rate,freegen_new_given_resolvable,alias_resolved_rate
qwen-2.5-1.5b,standard,0.0,0.0312,0.0588,0.5312
qwen-2.5-1.5b,date_prefix,0.614,0.0625,0.1111,0.5625
qwen-2.5-1.5b,instruction,0.416,0.0625,0.1053,0.5938
qwen-2.5-1.5b,tas,0.469,0.0,0.0,0.5
qwen-2.5-1.5b,iti,0.406,0.0312,0.0556,0.5625
qwen-2.5-7b,standard,0.0,0.2051,0.32,0.641
qwen-2.5-7b,date_prefix,0.782,0.1538,0.1818,0.8462
qwen-2.5-7b,instruction,0.278,0.2051,0.25,0.8205
qwen-2.5-7b,tas,0.538,0.1795,0.2692,0.6667
qwen-2.5-7b,iti,0.538,0.1538,0.2857,0.5385
mistral-7b-v0.3,standard,0.0,0.0,0.0,0.6338
mistral-7b-v0.3,date_prefix,0.794,0.1549,0.275,0.5634
mistral-7b-v0.3,instruction,0.154,0.0423,0.6,0.0704
mistral-7b-v0.3,tas,0.324,0.0,0.0,0.6338
mistral-7b-v0.3,iti,0.38,0.0141,0.0222,0.6338
llama-3.1-8b,standard,0.0,0.046,0.1333,0.3448
llama-3.1-8b,date_prefix,0.805,0.0115,0.0556,0.2069
llama-3.1-8b,instruction,0.193,0.0,0.0,0.6207
llama-3.1-8b,tas,0.356,0.0,0.0,0.0805
llama-3.1-8b,iti,0.287,0.0115,0.0139,0.8276
