model,method,n_ptc,new_rate,old_rate,other_entity_rate,definitional_rate,empty_rate,alias_resolved_rate,new_given_resolvable,preservation_acc_ctrl,n_control
qwen-2.5-1.5b,standard,32,0.0312,0.0,0.5,0.4688,0.0,0.5312,0.0588,0.005,200
qwen-2.5-1.5b,date_prefix,32,0.0625,0.0938,0.4062,0.4375,0.0,0.5625,0.1111,,0
qwen-2.5-1.5b,instruction,32,0.0625,0.0625,0.4688,0.4062,0.0,0.5938,0.1053,,0
qwen-2.5-1.5b,tas,32,0.0,0.0625,0.4375,0.5,0.0,0.5,0.0,0.0,200
qwen-2.5-1.5b,iti,32,0.0312,0.0,0.5312,0.4375,0.0,0.5625,0.0556,0.01,200
qwen-2.5-7b,standard,39,0.2051,0.1026,0.3333,0.359,0.0,0.641,0.32,0.03,200
qwen-2.5-7b,date_prefix,39,0.1538,0.2564,0.4359,0.1538,0.0,0.8462,0.1818,,0
qwen-2.5-7b,instruction,39,0.2051,0.1026,0.5128,0.1795,0.0,0.8205,0.25,,0
qwen-2.5-7b,tas,39,0.1795,0.1026,0.3846,0.3077,0.0256,0.6667,0.2692,0.03,200
qwen-2.5-7b,iti,39,0.1538,0.0769,0.3077,0.4615,0.0,0.5385,0.2857,0.025,200
mistral-7b-v0.3,standard,71,0.0,0.0704,0.5634,0.3662,0.0,0.6338,0.0,0.0,200
mistral-7b-v0.3,date_prefix,71,0.1549,0.1127,0.2958,0.4366,0.0,0.5634,0.275,,0
mistral-7b-v0.3,instruction,71,0.0423,0.0141,0.0141,0.9296,0.0,0.0704,0.6,,0
mistral-7b-v0.3,tas,71,0.0,0.0704,0.5634,0.3662,0.0,0.6338,0.0,0.01,200
mistral-7b-v0.3,iti,71,0.0141,0.0704,0.5493,0.3662,0.0,0.6338,0.0222,0.02,200
llama-3.1-8b,standard,87,0.046,0.046,0.2529,0.6552,0.0,0.3448,0.1333,0.035,200
llama-3.1-8b,date_prefix,87,0.0115,0.023,0.1724,0.7931,0.0,0.2069,0.0556,,0
llama-3.1-8b,instruction,87,0.0,0.023,0.5977,0.3563,0.023,0.6207,0.0,,0
llama-3.1-8b,tas,87,0.0,0.0,0.0805,0.1954,0.7241,0.0805,0.0,0.0,200
llama-3.1-8b,iti,87,0.0115,0.046,0.7701,0.1724,0.0,0.8276,0.0139,0.035,200
