split,layer,n,afr,ci_lo,ci_hi,n_flips
train,0,311,0.0032,0.0,0.0096,1
train,1,311,0.0193,0.0064,0.0354,6
train,2,311,0.0257,0.0096,0.045,8
train,3,311,0.0322,0.0129,0.0547,10
train,4,311,0.0322,0.0129,0.0514,10
train,5,311,0.045,0.0225,0.0675,14
train,6,311,0.0482,0.0257,0.074,15
train,7,311,0.0418,0.0193,0.0643,13
train,8,311,0.0482,0.0257,0.074,15
train,9,311,0.0579,0.0353,0.0836,18
train,10,311,0.0514,0.0289,0.0772,16
train,11,311,0.0707,0.045,0.0997,22
train,12,311,0.074,0.045,0.1029,23
train,13,311,0.1608,0.1222,0.2026,50
train,14,311,0.2605,0.2122,0.3087,81
train,15,311,0.3087,0.2572,0.3601,96
train,16,311,0.3183,0.2669,0.373,99
train,17,311,0.6238,0.5691,0.6785,194
train,18,311,0.6463,0.5916,0.6977,201
train,19,311,0.6431,0.5916,0.6977,200
train,20,311,0.6334,0.5788,0.6881,197
train,21,311,0.6334,0.582,0.6881,197
train,22,311,0.6463,0.5916,0.6977,201
train,23,311,0.7878,0.7428,0.8328,245
train,24,311,0.7846,0.7395,0.8296,244
train,25,311,0.7846,0.7395,0.8296,244
train,26,311,0.791,0.746,0.836,246
train,27,311,0.7878,0.7428,0.8328,245
train,28,311,0.8006,0.7556,0.8424,249
train,29,311,0.791,0.746,0.836,246
train,30,311,0.8006,0.7556,0.8457,249
train,31,311,0.8135,0.7717,0.8553,253
all,0,500,0.002,0.0,0.006,1
all,1,500,0.018,0.008,0.03,9
all,2,500,0.024,0.012,0.038,12
all,3,500,0.034,0.018,0.052,17
all,4,500,0.04,0.024,0.058,20
all,5,500,0.058,0.038,0.08,29
all,6,500,0.054,0.036,0.074,27
all,7,500,0.052,0.034,0.072,26
all,8,500,0.058,0.038,0.08,29
all,9,500,0.066,0.046,0.088,33
all,10,500,0.07,0.048,0.094,35
all,11,500,0.066,0.044,0.088,33
all,12,500,0.08,0.058,0.104,40
all,13,500,0.156,0.124,0.188,78
all,14,500,0.24,0.202,0.278,120
all,15,500,0.298,0.258,0.338,149
all,16,500,0.306,0.266,0.346,153
all,17,500,0.63,0.588,0.672,315
all,18,500,0.664,0.622,0.704,332
all,19,500,0.664,0.622,0.704,332
all,20,500,0.654,0.612,0.694,327
all,21,500,0.65,0.608,0.692,325
all,22,500,0.666,0.624,0.706,333
all,23,500,0.796,0.76,0.83,398
all,24,500,0.796,0.76,0.83,398
all,25,500,0.794,0.758,0.828,397
all,26,500,0.802,0.766,0.836,401
all,27,500,0.8,0.764,0.834,400
all,28,500,0.81,0.774,0.844,405
all,29,500,0.804,0.768,0.838,402
all,30,500,0.806,0.77,0.84,403
all,31,500,0.816,0.782,0.85,408
validation,0,72,0.0,0.0,0.0,0
validation,1,72,0.0139,0.0,0.0417,1
validation,2,72,0.0139,0.0,0.0417,1
validation,3,72,0.0278,0.0,0.0694,2
validation,4,72,0.0417,0.0,0.0972,3
validation,5,72,0.0694,0.0139,0.1389,5
validation,6,72,0.0417,0.0,0.0972,3
validation,7,72,0.0417,0.0,0.0972,3
validation,8,72,0.0556,0.0139,0.1111,4
validation,9,72,0.0694,0.0139,0.1389,5
validation,10,72,0.0833,0.0278,0.1528,6
validation,11,72,0.0556,0.0139,0.1111,4
validation,12,72,0.0972,0.0417,0.1667,7
validation,13,72,0.1667,0.0833,0.2639,12
validation,14,72,0.2361,0.1389,0.3333,17
validation,15,72,0.3056,0.2083,0.4167,22
validation,16,72,0.3056,0.1944,0.4167,22
validation,17,72,0.6111,0.5,0.7222,44
validation,18,72,0.6528,0.5417,0.7639,47
validation,19,72,0.6528,0.5417,0.7639,47
validation,20,72,0.6389,0.5278,0.75,46
validation,21,72,0.6389,0.5278,0.75,46
validation,22,72,0.6389,0.5278,0.75,46
validation,23,72,0.7639,0.6667,0.8611,55
validation,24,72,0.7639,0.6667,0.8611,55
validation,25,72,0.7639,0.6667,0.8611,55
validation,26,72,0.7639,0.6667,0.8611,55
validation,27,72,0.7778,0.6806,0.875,56
validation,28,72,0.8056,0.7083,0.8889,58
validation,29,72,0.8056,0.7083,0.8889,58
validation,30,72,0.8194,0.7222,0.9028,59
validation,31,72,0.8194,0.7222,0.9028,59
calibration,0,52,0.0,0.0,0.0,0
calibration,1,52,0.0,0.0,0.0,0
calibration,2,52,0.0,0.0,0.0,0
calibration,3,52,0.0192,0.0,0.0577,1
calibration,4,52,0.0385,0.0,0.0962,2
calibration,5,52,0.0577,0.0,0.1346,3
calibration,6,52,0.0385,0.0,0.0962,2
calibration,7,52,0.0577,0.0,0.1154,3
calibration,8,52,0.0769,0.0192,0.1538,4
calibration,9,52,0.0962,0.0192,0.1731,5
calibration,10,52,0.1538,0.0577,0.25,8
calibration,11,52,0.0577,0.0,0.1346,3
calibration,12,52,0.0769,0.0192,0.1538,4
calibration,13,52,0.1154,0.0385,0.2115,6
calibration,14,52,0.1731,0.0769,0.2885,9
calibration,15,52,0.2885,0.1731,0.4038,15
calibration,16,52,0.3077,0.1923,0.4423,16
calibration,17,52,0.7308,0.6154,0.8462,38
calibration,18,52,0.7885,0.6731,0.9038,41
calibration,19,52,0.7885,0.6731,0.9038,41
calibration,20,52,0.7885,0.6731,0.9038,41
calibration,21,52,0.75,0.6346,0.8654,39
calibration,22,52,0.7885,0.6731,0.8846,41
calibration,23,52,0.8846,0.7885,0.9615,46
calibration,24,52,0.9038,0.8077,0.9808,47
calibration,25,52,0.9038,0.8077,0.9808,47
calibration,26,52,0.9038,0.8077,0.9808,47
calibration,27,52,0.9038,0.8077,0.9808,47
calibration,28,52,0.8846,0.7885,0.9615,46
calibration,29,52,0.8846,0.7885,0.9615,46
calibration,30,52,0.8846,0.7885,0.9615,46
calibration,31,52,0.8654,0.7692,0.9423,45
test,0,65,0.0,0.0,0.0,0
test,1,65,0.0308,0.0,0.0769,2
test,2,65,0.0462,0.0,0.1077,3
test,3,65,0.0615,0.0154,0.1231,4
test,4,65,0.0769,0.0154,0.1385,5
test,5,65,0.1077,0.0462,0.1846,7
test,6,65,0.1077,0.0462,0.1846,7
test,7,65,0.1077,0.0462,0.1846,7
test,8,65,0.0923,0.0308,0.1692,6
test,9,65,0.0769,0.0154,0.1538,5
test,10,65,0.0769,0.0154,0.1538,5
test,11,65,0.0615,0.0154,0.1231,4
test,12,65,0.0923,0.0308,0.1692,6
test,13,65,0.1538,0.0769,0.2462,10
test,14,65,0.2,0.1077,0.3077,13
test,15,65,0.2462,0.1385,0.3538,16
test,16,65,0.2462,0.1535,0.3538,16
test,17,65,0.6,0.4769,0.7077,39
test,18,65,0.6615,0.5385,0.7692,43
test,19,65,0.6769,0.5538,0.7846,44
