layer,delta_l_norm,mean_shift_norm,mean_cosine_shift_vs_deltal,mean_projection,is_ell_star,n_test
0,0.0422,0.044,0.9379,0.0413,False,87
1,0.1255,0.1315,0.9445,0.1244,False,87
2,0.2673,0.2841,0.9324,0.2651,False,87
3,0.4199,0.4581,0.911,0.4174,False,87
4,0.7984,0.8735,0.9173,0.801,False,87
5,1.0609,1.1758,0.904,1.0631,False,87
6,1.3475,1.5089,0.8926,1.3472,False,87
7,1.7063,1.9225,0.8865,1.7042,False,87
8,1.9267,2.2151,0.8637,1.9127,False,87
9,2.1306,2.5666,0.8283,2.1233,False,87
10,2.2774,2.8361,0.7996,2.2634,False,87
11,2.843,3.4143,0.7919,2.718,False,87
12,2.8694,3.4931,0.7872,2.7634,False,87
13,2.9121,3.6745,0.7639,2.819,False,87
14,2.9667,3.8357,0.746,2.8769,False,87
15,2.818,3.7497,0.7213,2.7209,False,87
16,2.6773,3.6704,0.6985,2.587,False,87
17,2.8141,4.0062,0.6807,2.7497,False,87
18,2.9035,4.281,0.655,2.8284,False,87
19,2.8954,4.4889,0.6296,2.8513,False,87
20,3.0788,4.8747,0.6234,3.0537,False,87
21,3.1388,5.3003,0.5901,3.1331,False,87
22,3.302,5.8437,0.5652,3.3119,False,87
23,3.9135,7.8859,0.497,3.9553,False,87
24,4.3055,9.3142,0.4561,4.3263,False,87
25,4.6848,10.5235,0.4363,4.7022,False,87
26,5.2765,11.8731,0.4364,5.3321,False,87
27,5.9385,13.393,0.4362,6.0194,False,87
28,6.4977,14.9866,0.4254,6.5366,False,87
29,6.9294,17.0121,0.4022,6.9584,False,87
30,8.0096,19.7845,0.4034,8.0409,False,87
31,10.1973,25.1641,0.4248,10.7159,True,87
