split,layer,n,afr,ci_lo,ci_hi,n_flips
train,0,290,0.0034,0.0,0.0103,1
train,1,290,0.0,0.0,0.0,0
train,2,290,0.0034,0.0,0.0103,1
train,3,290,0.0069,0.0,0.0172,2
train,4,290,0.0207,0.0069,0.0379,6
train,5,290,0.0241,0.0069,0.0448,7
train,6,290,0.0276,0.0103,0.0483,8
train,7,290,0.0207,0.0069,0.0379,6
train,8,290,0.031,0.0138,0.0517,9
train,9,290,0.0621,0.0345,0.0897,18
train,10,290,0.0931,0.0621,0.1276,27
train,11,290,0.0828,0.0517,0.1138,24
train,12,290,0.1,0.0655,0.1345,29
train,13,290,0.1138,0.0793,0.1517,33
train,14,290,0.131,0.0931,0.169,38
train,15,290,0.1448,0.1069,0.1862,42
train,16,290,0.1724,0.131,0.2172,50
train,17,290,0.6172,0.5621,0.6724,179
train,18,290,0.8,0.7552,0.8448,232
train,19,290,0.7897,0.7414,0.8345,229
train,20,290,0.7862,0.7379,0.831,228
train,21,290,0.7966,0.7483,0.8414,231
train,22,290,0.7966,0.7483,0.8414,231
train,23,290,0.8034,0.7586,0.8483,233
train,24,290,0.7931,0.7448,0.8379,230
train,25,290,0.8103,0.7655,0.8552,235
train,26,290,0.7966,0.7483,0.8414,231
train,27,290,0.8034,0.7552,0.8483,233
train,28,290,0.8103,0.7655,0.8552,235
train,29,290,0.8103,0.7655,0.8552,235
train,30,290,0.8207,0.7759,0.8621,238
train,31,290,0.8138,0.769,0.8586,236
all,0,482,0.0041,0.0,0.0104,2
all,1,482,0.0,0.0,0.0,0
all,2,482,0.0021,0.0,0.0062,1
all,3,482,0.0062,0.0,0.0145,3
all,4,482,0.0166,0.0062,0.029,8
all,5,482,0.029,0.0145,0.0456,14
all,6,482,0.0332,0.0187,0.0498,16
all,7,482,0.0249,0.0124,0.0394,12
all,8,482,0.0353,0.0187,0.0519,17
all,9,482,0.0602,0.0394,0.083,29
all,10,482,0.0913,0.0664,0.1183,44
all,11,482,0.0934,0.0685,0.1203,45
all,12,482,0.1058,0.0788,0.1328,51
all,13,482,0.1162,0.0871,0.1452,56
all,14,482,0.139,0.1079,0.1701,67
all,15,482,0.1618,0.1286,0.195,78
all,16,482,0.1846,0.1494,0.2199,89
all,17,482,0.639,0.5954,0.6805,308
all,18,482,0.8029,0.7676,0.8382,387
all,19,482,0.7967,0.7593,0.832,384
all,20,482,0.7967,0.7593,0.832,384
all,21,482,0.8008,0.7656,0.8361,386
all,22,482,0.805,0.7697,0.8402,388
all,23,482,0.8091,0.7739,0.8423,390
all,24,482,0.8029,0.7656,0.8382,387
all,25,482,0.8174,0.7822,0.8506,394
all,26,482,0.8112,0.7759,0.8444,391
all,27,482,0.8112,0.7759,0.8444,391
all,28,482,0.8216,0.7863,0.8548,396
all,29,482,0.8174,0.7822,0.8506,394
all,30,482,0.8237,0.7884,0.8568,397
all,31,482,0.8216,0.7863,0.8548,396
test,0,61,0.0,0.0,0.0,0
test,1,61,0.0,0.0,0.0,0
test,2,61,0.0,0.0,0.0,0
test,3,61,0.0,0.0,0.0,0
test,4,61,0.0,0.0,0.0,0
test,5,61,0.0164,0.0,0.0492,1
test,6,61,0.0328,0.0,0.082,2
test,7,61,0.0164,0.0,0.0492,1
test,8,61,0.0328,0.0,0.082,2
test,9,61,0.0656,0.0164,0.1311,4
test,10,61,0.1311,0.0492,0.2131,8
test,11,61,0.1311,0.0492,0.2131,8
test,12,61,0.1639,0.082,0.2623,10
test,13,61,0.1311,0.0492,0.2131,8
test,14,61,0.1639,0.082,0.2623,10
test,15,61,0.2131,0.1148,0.3115,13
test,16,61,0.2459,0.1475,0.3607,15
test,17,61,0.623,0.4918,0.7377,38
test,18,61,0.8197,0.7213,0.918,50
test,19,61,0.8361,0.7377,0.918,51
test,20,61,0.8361,0.7377,0.918,51
test,21,61,0.8361,0.7377,0.918,51
test,22,61,0.8525,0.7541,0.9344,52
test,23,61,0.8361,0.7377,0.918,51
test,24,61,0.8525,0.7541,0.9344,52
test,25,61,0.8525,0.7541,0.9344,52
test,26,61,0.8689,0.7705,0.9508,53
test,27,61,0.8525,0.7541,0.9344,52
test,28,61,0.8689,0.7869,0.9508,53
test,29,61,0.8525,0.7541,0.9344,52
test,30,61,0.8525,0.7541,0.9344,52
test,31,61,0.8525,0.7541,0.9344,52
calibration,0,55,0.0,0.0,0.0,0
calibration,1,55,0.0,0.0,0.0,0
calibration,2,55,0.0,0.0,0.0,0
calibration,3,55,0.0,0.0,0.0,0
calibration,4,55,0.0182,0.0,0.0545,1
calibration,5,55,0.0545,0.0,0.1273,3
calibration,6,55,0.0727,0.0182,0.1455,4
calibration,7,55,0.0545,0.0,0.1273,3
calibration,8,55,0.0545,0.0,0.1273,3
calibration,9,55,0.0364,0.0,0.0909,2
calibration,10,55,0.0364,0.0,0.0909,2
calibration,11,55,0.1091,0.0364,0.2,6
calibration,12,55,0.1091,0.0364,0.2,6
calibration,13,55,0.0909,0.0182,0.1818,5
calibration,14,55,0.1273,0.0545,0.2182,7
calibration,15,55,0.1455,0.0545,0.2364,8
calibration,16,55,0.1273,0.0545,0.2182,7
calibration,17,55,0.6909,0.5636,0.8182,38
calibration,18,55,0.7818,0.6727,0.8909,43
calibration,19,55,0.7818,0.6727,0.8909,43
calibration,20,55,0.7818,0.6727,0.8909,43
calibration,21,55,0.7636,0.6545,0.8727,42
calibration,22,55,0.7818,0.6727,0.8909,43
calibration,23,55,0.8,0.6909,0.9091,44
calibration,24,55,0.7818,0.6727,0.8909,43
calibration,25,55,0.8,0.6909,0.9091,44
calibration,26,55,0.8,0.6909,0.9091,44
calibration,27,55,0.7818,0.6727,0.8909,43
calibration,28,55,0.7818,0.6727,0.8909,43
calibration,29,55,0.7818,0.6727,0.8909,43
calibration,30,55,0.7818,0.6727,0.8909,43
calibration,31,55,0.8,0.6909,0.9091,44
validation,0,76,0.0132,0.0,0.0395,1
validation,1,76,0.0,0.0,0.0,0
validation,2,76,0.0,0.0,0.0,0
validation,3,76,0.0132,0.0,0.0395,1
validation,4,76,0.0132,0.0,0.0395,1
validation,5,76,0.0395,0.0,0.0921,3
validation,6,76,0.0263,0.0,0.0658,2
validation,7,76,0.0263,0.0,0.0658,2
validation,8,76,0.0395,0.0,0.0921,3
