layer,delta_l_norm,mean_shift_norm,mean_cosine_shift_vs_deltal,mean_projection,is_ell_star,n_test
0,0.0126,0.0131,0.9673,0.0127,False,71
1,0.031,0.0323,0.9693,0.0314,False,71
2,0.0624,0.0658,0.9609,0.0633,False,71
3,0.1307,0.1397,0.9513,0.1329,False,71
4,0.2045,0.2195,0.9389,0.2061,False,71
5,0.3718,0.3981,0.9454,0.3765,False,71
6,0.4391,0.4762,0.936,0.4459,False,71
7,0.5248,0.5891,0.9095,0.536,False,71
8,0.6113,0.6989,0.8911,0.6229,False,71
9,0.697,0.8205,0.8664,0.7109,False,71
10,0.8454,1.0205,0.8441,0.861,False,71
11,0.8731,1.0763,0.8289,0.8904,False,71
12,1.1105,1.3577,0.8385,1.1377,False,71
13,1.3392,1.649,0.8207,1.3503,False,71
14,1.311,1.6763,0.7903,1.3176,False,71
15,1.33,1.783,0.7489,1.3294,False,71
16,1.3662,1.8686,0.7277,1.3635,False,71
17,1.4419,2.0091,0.7015,1.4152,False,71
18,1.5752,2.3382,0.6338,1.4971,False,71
19,1.673,2.6956,0.5797,1.573,False,71
20,1.7486,3.2092,0.5098,1.6153,False,71
21,1.878,3.8477,0.4583,1.7343,False,71
22,1.9883,4.3575,0.4284,1.8381,False,71
23,2.1599,4.9151,0.4025,1.9785,False,71
24,2.3327,5.4925,0.3834,2.1274,False,71
25,2.4884,6.0688,0.3674,2.2611,False,71
26,2.6939,6.7448,0.355,2.4397,False,71
27,2.9209,7.5022,0.3484,2.6621,False,71
28,3.3075,8.5982,0.352,3.0517,False,71
29,3.861,10.0165,0.3602,3.6241,False,71
30,4.2722,11.1431,0.3594,4.0435,True,71
31,4.8027,12.8506,0.3612,4.6269,False,71
