split,layer,n,afr,ci_lo,ci_hi,n_flips
train,0,64,0.0156,0.0,0.0469,1
train,1,64,0.0781,0.0156,0.1406,5
train,2,64,0.125,0.0469,0.2031,8
train,3,64,0.1562,0.0781,0.25,10
train,4,64,0.1562,0.0781,0.25,10
train,5,64,0.2031,0.1094,0.3125,13
train,6,64,0.2031,0.1094,0.3125,13
train,7,64,0.1875,0.0938,0.2812,12
train,8,64,0.2188,0.125,0.3281,14
train,9,64,0.2031,0.1094,0.3125,13
train,10,64,0.2188,0.125,0.3281,14
train,11,64,0.2188,0.125,0.3281,14
train,12,64,0.2188,0.125,0.3281,14
train,13,64,0.25,0.1406,0.3594,16
train,14,64,0.2812,0.1719,0.3906,18
train,15,64,0.2812,0.1719,0.3906,18
train,16,64,0.3125,0.2031,0.4375,20
train,17,64,0.4219,0.2969,0.5469,27
train,18,64,0.4688,0.3438,0.5938,30
train,19,64,0.4375,0.3125,0.5625,28
train,20,64,0.4688,0.3438,0.5938,30
train,21,64,0.5156,0.3906,0.6406,33
train,22,64,0.7344,0.625,0.8438,47
train,23,64,0.7656,0.6562,0.8594,49
train,24,64,0.75,0.6406,0.8594,48
train,25,64,0.75,0.6406,0.8594,48
train,26,64,0.75,0.6406,0.8594,48
train,27,64,0.75,0.6406,0.8594,48
all,0,101,0.0099,0.0,0.0297,1
all,1,101,0.0495,0.0099,0.099,5
all,2,101,0.0891,0.0396,0.1485,9
all,3,101,0.1089,0.0495,0.1782,11
all,4,101,0.1089,0.0495,0.1782,11
all,5,101,0.1386,0.0792,0.2079,14
all,6,101,0.1386,0.0792,0.2079,14
all,7,101,0.1386,0.0792,0.2079,14
all,8,101,0.1584,0.0891,0.2376,16
all,9,101,0.1584,0.0891,0.2376,16
all,10,101,0.1683,0.099,0.2475,17
all,11,101,0.1782,0.1089,0.2574,18
all,12,101,0.1782,0.1089,0.2574,18
all,13,101,0.198,0.1287,0.2772,20
all,14,101,0.2178,0.1386,0.297,22
all,15,101,0.2574,0.1782,0.3465,26
all,16,101,0.3069,0.2178,0.396,31
all,17,101,0.4059,0.3069,0.505,41
all,18,101,0.4455,0.3465,0.5446,45
all,19,101,0.4257,0.3267,0.5248,43
all,20,101,0.4554,0.3564,0.5545,46
all,21,101,0.495,0.396,0.5941,50
all,22,101,0.6931,0.604,0.7822,70
all,23,101,0.7228,0.6337,0.8119,73
all,24,101,0.7129,0.6238,0.802,72
all,25,101,0.703,0.6139,0.7921,71
all,26,101,0.6931,0.604,0.7822,70
all,27,101,0.703,0.6139,0.7921,71
test,0,10,0.0,0.0,0.0,0
test,1,10,0.0,0.0,0.0,0
test,2,10,0.1,0.0,0.3,1
test,3,10,0.1,0.0,0.3,1
test,4,10,0.1,0.0,0.3,1
test,5,10,0.1,0.0,0.3,1
test,6,10,0.1,0.0,0.3,1
test,7,10,0.1,0.0,0.3,1
test,8,10,0.2,0.0,0.5,2
test,9,10,0.3,0.0,0.6,3
test,10,10,0.2,0.0,0.5,2
test,11,10,0.3,0.0,0.6,3
test,12,10,0.3,0.0,0.6,3
test,13,10,0.3,0.0,0.6,3
test,14,10,0.3,0.0,0.6,3
test,15,10,0.4,0.1,0.7,4
test,16,10,0.4,0.1,0.7,4
test,17,10,0.4,0.1,0.7,4
test,18,10,0.4,0.1,0.7,4
test,19,10,0.4,0.1,0.7,4
test,20,10,0.4,0.1,0.7,4
test,21,10,0.3,0.0,0.6,3
test,22,10,0.6,0.3,0.9,6
test,23,10,0.6,0.3,0.9,6
test,24,10,0.6,0.3,0.9,6
test,25,10,0.6,0.3,0.9,6
test,26,10,0.6,0.3,0.9,6
test,27,10,0.6,0.3,0.9,6
calibration,0,9,0.0,0.0,0.0,0
calibration,1,9,0.0,0.0,0.0,0
calibration,2,9,0.0,0.0,0.0,0
calibration,3,9,0.0,0.0,0.0,0
calibration,4,9,0.0,0.0,0.0,0
calibration,5,9,0.0,0.0,0.0,0
calibration,6,9,0.0,0.0,0.0,0
calibration,7,9,0.1111,0.0,0.3333,1
calibration,8,9,0.0,0.0,0.0,0
calibration,9,9,0.0,0.0,0.0,0
calibration,10,9,0.1111,0.0,0.3333,1
calibration,11,9,0.1111,0.0,0.3333,1
calibration,12,9,0.1111,0.0,0.3333,1
calibration,13,9,0.1111,0.0,0.3333,1
calibration,14,9,0.1111,0.0,0.3333,1
calibration,15,9,0.1111,0.0,0.3333,1
calibration,16,9,0.3333,0.1111,0.6667,3
calibration,17,9,0.4444,0.1111,0.7778,4
calibration,18,9,0.5556,0.2222,0.8889,5
calibration,19,9,0.5556,0.2222,0.8889,5
calibration,20,9,0.6667,0.3333,1.0,6
calibration,21,9,0.7778,0.4444,1.0,7
calibration,22,9,0.8889,0.6667,1.0,8
calibration,23,9,0.8889,0.6667,1.0,8
calibration,24,9,0.8889,0.6667,1.0,8
calibration,25,9,0.7778,0.4444,1.0,7
calibration,26,9,0.7778,0.4444,1.0,7
calibration,27,9,0.7778,0.4444,1.0,7
validation,0,18,0.0,0.0,0.0,0
validation,1,18,0.0,0.0,0.0,0
validation,2,18,0.0,0.0,0.0,0
validation,3,18,0.0,0.0,0.0,0
validation,4,18,0.0,0.0,0.0,0
validation,5,18,0.0,0.0,0.0,0
validation,6,18,0.0,0.0,0.0,0
validation,7,18,0.0,0.0,0.0,0
validation,8,18,0.0,0.0,0.0,0
validation,9,18,0.0,0.0,0.0,0
validation,10,18,0.0,0.0,0.0,0
validation,11,18,0.0,0.0,0.0,0
validation,12,18,0.0,0.0,0.0,0
validation,13,18,0.0,0.0,0.0,0
validation,14,18,0.0,0.0,0.0,0
validation,15,18,0.1667,0.0,0.3333,3
validation,16,18,0.2222,0.0556,0.4444,4
validation,17,18,0.3333,0.1111,0.5556,6
validation,18,18,0.3333,0.1111,0.5556,6
validation,19,18,0.3333,0.1111,0.5556,6
validation,20,18,0.3333,0.1111,0.5556,6
validation,21,18,0.3889,0.1667,0.6111,7
validation,22,18,0.5,0.2778,0.7222,9
validation,23,18,0.5556,0.3333,0.7778,10
validation,24,18,0.5556,0.3333,0.7778,10
validation,25,18,0.5556,0.3333,0.7778,10
validation,26,18,0.5,0.2778,0.7222,9
validation,27,18,0.5556,0.3333,0.7778,10
val+test,0,28,0.0,0.0,0.0,0
val+test,1,28,0.0,0.0,0.0,0
val+test,2,28,0.0357,0.0,0.1071,1
val+test,3,28,0.0357,0.0,0.1071,1
val+test,4,28,0.0357,0.0,0.1071,1
val+test,5,28,0.0357,0.0,0.1071,1
val+test,6,28,0.0357,0.0,0.1071,1
val+test,7,28,0.0357,0.0,0.1071,1
val+test,8,28,0.0714,0.0,0.1786,2
val+test,9,28,0.1071,0.0,0.25,3
val+test,10,28,0.0714,0.0,0.1786,2
val+test,11,28,0.1071,0.0,0.25,3
val+test,12,28,0.1071,0.0,0.25,3
val+test,13,28,0.1071,0.0,0.25,3
val+test,14,28,0.1071,0.0,0.25,3
val+test,15,28,0.25,0.1071,0.4286,7
val+test,16,28,0.2857,0.1429,0.4643,8
val+test,17,28,0.3571,0.1786,0.5357,10
val+test,18,28,0.3571,0.1786,0.5357,10
val+test,19,28,0.3571,0.1786,0.5357,10
val+test,20,28,0.3571,0.1786,0.5357,10
val+test,21,28,0.3571,0.1786,0.5357,10
val+test,22,28,0.5357,0.3571,0.7143,15
val+test,23,28,0.5714,0.3929,0.75,16
val+test,24,28,0.5714,0.3929,0.75,16
val+test,25,28,0.5714,0.3929,0.75,16
val+test,26,28,0.5357,0.3571,0.7143,15
val+test,27,28,0.5714,0.3929,0.75,16
