layer,delta_l_norm,mean_shift_norm,mean_cosine_shift_vs_deltal,mean_projection,is_ell_star,n_test
0,0.6055,0.5937,0.9724,0.5781,False,32
1,2.8668,2.8362,0.9765,2.7718,False,32
2,4.3672,4.3077,0.9647,4.1619,False,32
3,5.5264,5.6129,0.9559,5.3722,False,32
4,7.5181,7.6876,0.9488,7.3045,False,32
5,9.843,10.0741,0.9361,9.4552,False,32
6,9.6937,10.1799,0.9268,9.4618,False,32
7,9.8704,10.3316,0.9247,9.5903,False,32
8,10.0394,10.5816,0.9088,9.6699,False,32
9,10.7893,11.6817,0.8984,10.5485,False,32
10,11.6096,13.2706,0.8718,11.5963,False,32
11,11.8258,13.5053,0.8661,11.73,False,32
12,12.1999,13.9344,0.8566,11.9762,False,32
13,13.1356,15.2593,0.8427,12.9042,False,32
14,14.7685,16.774,0.8331,14.085,False,32
15,13.8522,15.763,0.8319,13.2045,False,32
16,15.6265,17.6509,0.8371,14.8987,False,32
17,16.0273,18.2468,0.8278,15.2304,False,32
18,16.2792,18.8618,0.8115,15.412,False,32
19,16.0696,19.3722,0.7898,15.3529,False,32
20,18.039,21.9489,0.7507,16.5904,False,32
21,20.0574,24.4569,0.6873,17.1823,False,32
22,26.0556,31.5901,0.6204,20.5371,False,32
23,33.535,42.2556,0.5148,23.7192,True,32
24,39.1031,52.998,0.438,26.1894,False,32
25,51.3086,67.6628,0.3976,31.8832,False,32
26,56.1695,78.4594,0.3513,32.7843,False,32
27,51.1327,95.6994,0.3674,35.9748,False,32
