split,layer,n,afr,ci_lo,ci_hi,n_flips
train,0,149,0.0,0.0,0.0,0
train,1,149,0.0134,0.0,0.0336,2
train,2,149,0.0336,0.0067,0.0671,5
train,3,149,0.0604,0.0268,0.1007,9
train,4,149,0.0738,0.0336,0.1208,11
train,5,149,0.1007,0.0537,0.1544,15
train,6,149,0.1007,0.0537,0.1544,15
train,7,149,0.1275,0.0738,0.1812,19
train,8,149,0.1477,0.094,0.2081,22
train,9,149,0.1275,0.0738,0.1812,19
train,10,149,0.1342,0.0805,0.1946,20
train,11,149,0.1544,0.1007,0.2148,23
train,12,149,0.1611,0.1074,0.2215,24
train,13,149,0.1544,0.1007,0.2148,23
train,14,149,0.1812,0.1208,0.2416,27
train,15,149,0.2013,0.1409,0.2685,30
train,16,149,0.2416,0.1745,0.3087,36
train,17,149,0.2148,0.1477,0.2819,32
train,18,149,0.2416,0.1745,0.3089,36
train,19,149,0.302,0.2282,0.3758,45
train,20,149,0.3221,0.2483,0.396,48
train,21,149,0.349,0.2752,0.4228,52
train,22,149,0.8255,0.7651,0.8859,123
train,23,149,0.8456,0.7852,0.8993,126
train,24,149,0.8456,0.7852,0.8993,126
train,25,149,0.8322,0.7718,0.8926,124
train,26,149,0.8523,0.7919,0.906,127
train,27,149,0.8389,0.7785,0.8926,125
all,0,248,0.0,0.0,0.0,0
all,1,248,0.0161,0.004,0.0323,4
all,2,248,0.0524,0.0282,0.0806,13
all,3,248,0.0806,0.0484,0.1169,20
all,4,248,0.0927,0.0565,0.129,23
all,5,248,0.1129,0.0766,0.1532,28
all,6,248,0.0968,0.0605,0.1331,24
all,7,248,0.1371,0.0968,0.1815,34
all,8,248,0.1573,0.1129,0.2056,39
all,9,248,0.1371,0.0968,0.1815,34
all,10,248,0.1452,0.1048,0.1895,36
all,11,248,0.1573,0.1129,0.2056,39
all,12,248,0.1774,0.1331,0.2258,44
all,13,248,0.1774,0.1331,0.2258,44
all,14,248,0.2016,0.1532,0.25,50
all,15,248,0.2137,0.1653,0.2661,53
all,16,248,0.2581,0.2056,0.3145,64
all,17,248,0.2218,0.1734,0.2742,55
all,18,248,0.246,0.1935,0.3024,61
all,19,248,0.3185,0.2621,0.379,79
all,20,248,0.3548,0.2984,0.4153,88
all,21,248,0.375,0.3145,0.4355,93
all,22,248,0.8306,0.7823,0.875,206
all,23,248,0.8508,0.8065,0.8952,211
all,24,248,0.8387,0.7903,0.8831,208
all,25,248,0.8347,0.7863,0.879,207
all,26,248,0.8468,0.7984,0.8911,210
all,27,248,0.8387,0.7903,0.8831,208
test,0,28,0.0,0.0,0.0,0
