layer,delta_l_norm,mean_shift_norm,mean_cosine_shift_vs_deltal,mean_projection,is_ell_star,n_test
0,0.9849,1.015,0.9632,0.9801,False,39
1,1.7712,1.8316,0.9629,1.7675,False,39
2,2.4265,2.5464,0.9569,2.4402,False,39
3,5.286,5.5823,0.9634,5.3933,False,39
4,6.6015,6.9953,0.9605,6.7369,False,39
5,8.1362,8.6634,0.9502,8.2491,False,39
6,9.2802,9.9869,0.9348,9.3637,False,39
7,11.6112,12.8462,0.9081,11.7222,False,39
8,14.311,16.147,0.8899,14.4619,False,39
9,12.5533,14.8315,0.8515,12.7049,False,39
10,12.55,15.1402,0.8392,12.7625,False,39
11,12.7942,15.6312,0.8279,13.0027,False,39
12,12.9281,16.2159,0.8128,13.2122,False,39
13,13.2886,16.9473,0.8014,13.6062,False,39
14,13.0792,17.0884,0.7798,13.3403,False,39
15,13.2766,17.7192,0.7629,13.5296,False,39
16,14.4486,19.1863,0.7653,14.7035,False,39
17,15.111,20.1564,0.7529,15.2028,False,39
18,14.9832,20.1635,0.7453,15.0151,False,39
19,16.6625,22.6291,0.7223,16.3343,False,39
20,18.3298,25.359,0.706,17.8947,False,39
21,18.6811,26.8932,0.6675,17.9639,False,39
22,23.483,36.453,0.5809,21.5091,False,39
23,32.0408,54.2897,0.5013,28.0553,True,39
24,43.9862,80.0226,0.438,37.3509,False,39
25,50.7458,113.7327,0.3522,43.4865,False,39
26,52.1902,149.6579,0.2845,45.1788,False,39
27,65.0498,192.3665,0.2234,49.8884,False,39
