model,tau_rec,n_benchmark,kept,kept_frac,raw_ptc,filtered_ptc,fptc_rate_among_kept,fptc_rate_ci_lo,fptc_rate_ci_hi,fptc_rate_over_benchmark,opr_among_kept,elicitation_gap_kept
qwen-2.5-1.5b,-2.0,8746,1034,0.1182,209,71,0.0687,0.0532,0.0841,0.0081,0.3037,0.3677
qwen-2.5-1.5b,-2.5,8746,1632,0.1866,209,87,0.0533,0.0429,0.0643,0.0099,0.2923,0.2853
qwen-2.5-1.5b,-3.0,8746,2466,0.282,209,101,0.041,0.0333,0.0491,0.0115,0.3062,0.2345
qwen-2.5-1.5b,-3.5,8746,3518,0.4022,209,118,0.0335,0.0276,0.0395,0.0135,0.3164,0.2072
qwen-2.5-1.5b,-4.0,8746,4551,0.5204,209,142,0.0312,0.0264,0.0363,0.0162,0.3481,0.1943
qwen-2.5-7b,-2.0,8746,1804,0.2063,318,228,0.1264,0.1114,0.1419,0.0261,0.372,0.2094
qwen-2.5-7b,-2.5,8746,2554,0.292,318,237,0.0928,0.0818,0.1042,0.0271,0.3634,0.1645
qwen-2.5-7b,-3.0,8746,3484,0.3984,318,248,0.0712,0.0629,0.0798,0.0284,0.366,0.1383
qwen-2.5-7b,-3.5,8746,4508,0.5154,318,263,0.0583,0.0515,0.0654,0.0301,0.3804,0.1186
qwen-2.5-7b,-4.0,8746,5443,0.6223,318,274,0.0503,0.0446,0.0562,0.0313,0.4117,0.1077
mistral-7b-v0.3,-2.0,8746,3625,0.4145,523,442,0.1219,0.1114,0.1324,0.0505,0.4199,0.222
mistral-7b-v0.3,-2.5,8746,4604,0.5264,523,462,0.1003,0.0917,0.1093,0.0528,0.4283,0.196
mistral-7b-v0.3,-3.0,8746,5649,0.6459,523,481,0.0851,0.0781,0.0926,0.055,0.4394,0.1805
mistral-7b-v0.3,-3.5,8746,6561,0.7502,523,498,0.0759,0.0697,0.0823,0.0569,0.46,0.1688
mistral-7b-v0.3,-4.0,8746,7322,0.8372,523,508,0.0694,0.0636,0.0753,0.0581,0.4828,0.1613
llama-3.1-8b,-2.0,8746,4004,0.4578,641,556,0.1389,0.1284,0.1499,0.0636,0.4221,0.2763
llama-3.1-8b,-2.5,8746,4936,0.5644,641,579,0.1173,0.1086,0.1264,0.0662,0.4423,0.2468
llama-3.1-8b,-3.0,8746,5781,0.661,641,597,0.1033,0.0955,0.1112,0.0683,0.4491,0.2256
llama-3.1-8b,-3.5,8746,6534,0.7471,641,610,0.0934,0.0863,0.1002,0.0697,0.4613,0.2108
llama-3.1-8b,-4.0,8746,7113,0.8133,641,616,0.0866,0.0801,0.0932,0.0704,0.4756,0.201
