model,tau_rec,test_fptc_scored,fixed_tas_recovery,rec_ci_lo,rec_ci_hi,pa_unchanged_controls
qwen-2.5-1.5b,-2.0,9,0.5556,0.2222,0.8889,0.82
qwen-2.5-1.5b,-2.5,10,0.5,0.2,0.8,0.82
qwen-2.5-1.5b,-3.0,10,0.5,0.2,0.8,0.82
qwen-2.5-1.5b,-3.5,15,0.4667,0.2,0.7333,0.82
qwen-2.5-1.5b,-4.0,19,0.4211,0.2105,0.6316,0.82
qwen-2.5-7b,-2.0,27,0.6667,0.4815,0.8519,0.795
qwen-2.5-7b,-2.5,28,0.6786,0.5,0.8571,0.795
qwen-2.5-7b,-3.0,28,0.6786,0.5,0.8571,0.795
qwen-2.5-7b,-3.5,32,0.5938,0.4375,0.75,0.795
qwen-2.5-7b,-4.0,32,0.5938,0.4375,0.75,0.795
mistral-7b-v0.3,-2.0,57,0.2982,0.1754,0.4211,0.85
mistral-7b-v0.3,-2.5,59,0.2881,0.1695,0.4068,0.85
mistral-7b-v0.3,-3.0,61,0.3115,0.1967,0.4262,0.85
mistral-7b-v0.3,-3.5,66,0.3182,0.2121,0.4242,0.85
mistral-7b-v0.3,-4.0,67,0.3284,0.2239,0.4478,0.85
llama-3.1-8b,-2.0,76,0.3684,0.2632,0.4737,0.785
llama-3.1-8b,-2.5,81,0.3704,0.2716,0.4815,0.785
llama-3.1-8b,-3.0,83,0.3614,0.253,0.4578,0.785
llama-3.1-8b,-3.5,85,0.3647,0.2588,0.4706,0.785
llama-3.1-8b,-4.0,85,0.3647,0.2588,0.4706,0.785
