model,tau_rec,relation,kept,filtered_ptc,fptc_rate_among_kept
qwen-2.5-1.5b,-2.0,P35,118,12,0.1017
qwen-2.5-1.5b,-2.0,P169,38,1,0.0263
qwen-2.5-1.5b,-2.0,P6,375,36,0.096
qwen-2.5-1.5b,-2.0,P286,255,8,0.0314
qwen-2.5-1.5b,-2.0,P488,248,14,0.0565
qwen-2.5-1.5b,-2.5,P35,129,12,0.093
qwen-2.5-1.5b,-2.5,P169,58,1,0.0172
qwen-2.5-1.5b,-2.5,P6,592,42,0.0709
qwen-2.5-1.5b,-2.5,P286,459,13,0.0283
qwen-2.5-1.5b,-2.5,P488,394,19,0.0482
qwen-2.5-1.5b,-3.0,P35,137,12,0.0876
qwen-2.5-1.5b,-3.0,P169,75,1,0.0133
qwen-2.5-1.5b,-3.0,P6,920,45,0.0489
qwen-2.5-1.5b,-3.0,P286,729,18,0.0247
qwen-2.5-1.5b,-3.0,P488,605,25,0.0413
qwen-2.5-1.5b,-3.5,P35,146,12,0.0822
qwen-2.5-1.5b,-3.5,P169,97,1,0.0103
qwen-2.5-1.5b,-3.5,P6,1380,53,0.0384
qwen-2.5-1.5b,-3.5,P286,1029,22,0.0214
qwen-2.5-1.5b,-3.5,P488,866,30,0.0346
qwen-2.5-1.5b,-4.0,P35,155,12,0.0774
qwen-2.5-1.5b,-4.0,P169,114,1,0.0088
qwen-2.5-1.5b,-4.0,P6,1823,60,0.0329
qwen-2.5-1.5b,-4.0,P286,1298,27,0.0208
qwen-2.5-1.5b,-4.0,P488,1161,42,0.0362
qwen-2.5-7b,-2.0,P35,144,25,0.1736
qwen-2.5-7b,-2.0,P169,78,16,0.2051
qwen-2.5-7b,-2.0,P6,577,95,0.1646
qwen-2.5-7b,-2.0,P286,511,44,0.0861
qwen-2.5-7b,-2.0,P488,494,48,0.0972
qwen-2.5-7b,-2.5,P35,155,25,0.1613
qwen-2.5-7b,-2.5,P169,87,16,0.1839
qwen-2.5-7b,-2.5,P6,843,100,0.1186
qwen-2.5-7b,-2.5,P286,771,45,0.0584
qwen-2.5-7b,-2.5,P488,698,51,0.0731
qwen-2.5-7b,-3.0,P35,163,26,0.1595
qwen-2.5-7b,-3.0,P169,108,16,0.1481
qwen-2.5-7b,-3.0,P6,1268,105,0.0828
qwen-2.5-7b,-3.0,P286,1039,49,0.0472
qwen-2.5-7b,-3.0,P488,906,52,0.0574
qwen-2.5-7b,-3.5,P35,169,27,0.1598
