model,tau_rec,train_fptc,val_fptc,calib_fptc,test_fptc,test_kept,test_kept_frac,small_test_flag
qwen-2.5-1.5b,-2.0,45,9,8,9,151,0.1129,True
qwen-2.5-1.5b,-2.5,56,13,8,10,230,0.172,True
qwen-2.5-1.5b,-3.0,64,18,9,10,354,0.2648,True
qwen-2.5-1.5b,-3.5,73,20,10,15,529,0.3957,False
qwen-2.5-1.5b,-4.0,88,24,11,19,689,0.5153,False
qwen-2.5-7b,-2.0,136,41,24,27,274,0.2049,False
qwen-2.5-7b,-2.5,142,42,25,28,383,0.2865,False
qwen-2.5-7b,-3.0,149,44,27,28,529,0.3957,False
qwen-2.5-7b,-3.5,159,45,27,32,697,0.5213,False
qwen-2.5-7b,-4.0,167,47,28,32,844,0.6313,False
mistral-7b-v0.3,-2.0,266,68,51,57,549,0.4106,False
mistral-7b-v0.3,-2.5,277,73,53,59,690,0.5161,False
mistral-7b-v0.3,-3.0,289,76,55,61,837,0.626,False
mistral-7b-v0.3,-3.5,298,78,56,66,997,0.7457,False
mistral-7b-v0.3,-4.0,301,82,58,67,1117,0.8355,False
llama-3.1-8b,-2.0,344,81,55,76,602,0.4503,False
llama-3.1-8b,-2.5,358,83,57,81,732,0.5475,False
llama-3.1-8b,-3.0,372,85,57,83,873,0.653,False
llama-3.1-8b,-3.5,378,87,60,85,980,0.733,False
llama-3.1-8b,-4.0,382,89,60,85,1077,0.8055,False
