model,relation,n_test,v2_recovery,train_support,fell_back
qwen-2.5-1.5b,P169,1,1.0,1,1
qwen-2.5-1.5b,P286,3,0.3333,11,0
qwen-2.5-1.5b,P35,1,1.0,6,1
qwen-2.5-1.5b,P488,13,0.6154,15,0
qwen-2.5-1.5b,P6,14,0.2857,31,0
qwen-2.5-7b,P169,1,0.0,9,1
qwen-2.5-7b,P286,6,0.8333,31,0
qwen-2.5-7b,P35,2,0.5,14,0
qwen-2.5-7b,P488,10,0.5,32,0
qwen-2.5-7b,P6,20,0.5,63,0
mistral-7b-v0.3,P169,2,0.0,12,0
mistral-7b-v0.3,P286,29,0.3448,89,0
mistral-7b-v0.3,P35,6,0.5,19,0
mistral-7b-v0.3,P488,10,0.2,67,0
mistral-7b-v0.3,P6,24,0.3333,103,0
llama-3.1-8b,P169,4,0.0,14,0
llama-3.1-8b,P286,21,0.381,111,0
llama-3.1-8b,P35,1,0.0,25,0
llama-3.1-8b,P488,28,0.3929,90,0
llama-3.1-8b,P6,33,0.3636,133,0
