model,variant,alpha,n_ptc,recovery,rec_ci,pa,pa_ci,J,test_ptc_fallback
qwen-2.5-1.5b,v1,1.0,32,0.375,"[0.22,0.53]",0.94,"[0.91,0.97]",0.315,0
qwen-2.5-1.5b,v2,2.0,32,0.4688,"[0.31,0.66]",0.82,"[0.77,0.87]",0.2887,2
qwen-2.5-1.5b,v3,2.0,32,0.4375,"[0.28,0.62]",0.815,"[0.76,0.86]",0.2525,0
qwen-2.5-7b,v1,2.0,39,0.6154,"[0.46,0.77]",0.83,"[0.78,0.88]",0.4454,0
qwen-2.5-7b,v2,2.0,39,0.5385,"[0.38,0.69]",0.8,"[0.74,0.85]",0.3385,1
qwen-2.5-7b,v3,2.0,39,0.5641,"[0.41,0.72]",0.805,"[0.75,0.86]",0.3691,0
mistral-7b-v0.3,v1,8.0,71,0.3944,"[0.28,0.51]",0.83,"[0.78,0.88]",0.2244,0
mistral-7b-v0.3,v2,4.0,71,0.3239,"[0.21,0.44]",0.85,"[0.80,0.90]",0.1739,0
mistral-7b-v0.3,v3,4.0,71,0.3099,"[0.20,0.42]",0.85,"[0.80,0.90]",0.1599,0
llama-3.1-8b,v1,4.0,87,0.3448,"[0.25,0.45]",0.79,"[0.73,0.84]",0.1348,0
llama-3.1-8b,v2,6.0,87,0.3563,"[0.25,0.46]",0.785,"[0.72,0.84]",0.1413,0
llama-3.1-8b,v3,6.0,87,0.3678,"[0.26,0.47]",0.79,"[0.73,0.84]",0.1578,0
